article_id,prod_name,graphical_appearance_name
108775015,Strap top,Solid
108775044,Strap top,Solid
108775051,Strap top (1),Stripe
110065001,OP T-shirt (Idro),Solid
110065002,OP T-shirt (Idro),Solid
110065011,OP T-shirt (Idro),Solid
111565001,20 den 1p Stockings,Solid
111565003,20 den 1p Stockings,Solid
111586001,Shape Up 30 den 1p Tights,Solid
111593001,Support 40 den 1p Tights,Solid
111609001,200 den 1p Tights,Solid
112679048,SWEATSHIRT  OC,All over pattern
112679052,SWEATSHIRT  OC,All over pattern
114428026,Alice BANDEAU 2-p,Stripe
114428030,Alice BANDEAU 2-p,Solid
116379047,Frugan longsleeve,Solid
118458003,Jerry jogger bottoms,Melange
118458004,Jerry jogger bottoms,Melange
118458028,Jerry jogger bottoms,Solid
118458029,Jerry jogger bottoms,Melange
118458034,Jerry jogger bottoms,Solid
118458038,Jerry jogger bottoms,Melange
118458039,Jerry jogger bottoms,Melange
120129001,Babette long,Solid
120129014,Babette long,Melange
120129018,Babette long,Solid
120129025,Babette long,All over pattern
123173001,Control Top 50 den 1p Tights,Solid
126589006,2p Claw,Solid
126589007,2p Claw,Transparent
126589010,2p Claw,Metallic
126589011,2p Claw,Metallic
126589012,2p Claw,Metallic
129085001,Pirate Leggings (1),Solid
129085026,Pirate Leggings (1),Solid
129085027,Pirate Leggings (1),Melange
130035001,Black Umbrella,Solid
141661022,Velour pyjama,Application/3D
141661025,Velour pyjama,Application/3D
144993001,Mama 100 den 1p Tights,Solid
145872001,Dorian l/s basic,Solid
145872037,Dorian l/s basic,Melange
145872043,Dorian l/s basic,Solid
145872051,Dorian l/s basic,Melange
145872052,Dorian l/s basic,Melange
145872053,Dorian l/s basic,Melange
146706001,Tanktop body white 3PACK,Solid
146706004,Tanktop body white 3PACK,Solid
146706005,3P TANKTOP BODY,Solid
146721001,Hair Ring,Solid
146721002,Hair Ring,Solid
146730001,200 den 1p leggings,Solid
147339034,6P SS BODY,All over pattern
148033001,Nouvelle 1p Stay Up,Solid
148033006,Nouvelle 1p Stay Up,Solid
150959011,THOMPSON woven sport pants,Solid
150959013,THOMPSON woven sport pants,Solid
153115019,OP Strapless^,Solid
153115020,OP Strapless^,Solid
153115021,OP Strapless^,Solid
153115039,OP Strapless^,Solid
153115040,OP Strapless^,Solid
153115043,OP Strapless^,Solid
156224001,Box 4p Socks,Solid
156224002,Box 4p Socks,Solid
156227001,Box 4p Kneehighs,Solid
156227002,Box 4p Kneehighs,Solid
156231001,Box 4p Tights,Solid
156231002,Box 4p Tights,Solid
156289011,Slim Cheapo 79,Denim
156610001,Connor pants,Solid
156610007,Anton sport pant,Solid
156610010,Anton sport pant,All over pattern
158340001,Highwaist 30 den 1p Tights,Solid
160442007,3p Sneaker Socks,Solid
160442010,3p Sneaker Socks,Solid
160442042,Sneaker 3p Socks,Melange
160442043,3p Sneaker Socks,Melange
162074062,Sigge sneaker sock 5p,Colour blocking
162074069,Sigge sneaker sock 5p,All over pattern
162074071,Sigge sneaker sock 5p,All over pattern
163734002,KOMPIS 2-pack L/S,Solid
163734054,KOMPIS 2-pack L/S,Melange
164912035,Scallop 5p Socks,Solid
164912039,Scallop 5p Socks,Melange
174057022,FLEECE PYJAMA,All over pattern
174057026,FLEECE PYJAMA,All over pattern
174057027,FLEECE PYJAMA,All over pattern
174057028,FLEECE PYJAMA,All over pattern
174057029,FLEECE PYJAMA,Dot
174057030,FLEECE PYJAMA,Stripe
174057032,FLEECE PYJAMA,All over pattern
174057033,FLEECE PYJAMA,All over pattern
174057035,FLEECE PYJAMA,All over pattern
174057036,FLEECE PYJAMA,Stripe
174057037,FLEECE PYJAMA,Stripe
174057038,FLEECE PYJAMA,Stripe
174057039,FLEECE PYJAMA,Dot
174057040,FLEECE PYJAMA,Dot
176209023,Mr Harrington w/hood,Solid
176209025,Mr Harrington w/hood,Solid
176209033,Mr Harrington w/hood,Solid
176209035,Mr Harrington w/hood,Melange
176209039,Mr Harrington w/hood,Solid
176209040,Mr Harrington w/hood,Solid
176209044,Mr Harrington w/hood,Solid
176209046,Mr Harrington w/hood,Solid
176550016,Sleep bag padded,All over pattern
176550017,Sleep bag padded,All over pattern
176550018,Sleep bag padded,All over pattern
176550020,Sleep bag padded,All over pattern
176550021,Sleep bag padded,All over pattern
176754001,2 Row Braided Headband (1),Solid
176754003,2 Row Braided Headband (1),Solid
176754019,2 Row Braided Headband (1),Solid
179123001,Long Leggings,Solid
179123040,Long Leggings (1),Melange
179208001,Control Top 100 den 1p Tights,Solid
179208008,Control Top 100 den 1p Tights,Melange
179393001,Basic 2p Overknee,Solid
179393018,Basic 2p Overknee,Melange
179950001,Austin basic leather hip belt,Solid
179950002,Austin basic leather hip belt,Solid
179950017,Austin basic leather hip belt,Solid
181160009,Eva chelsea boot,Solid
181448022,Jenny 5-pack,Solid
181448102,Jenny 5-pack,Melange
181448103,Jenny 5-pack,Stripe
181448104,Jenny 5-pack,Melange
181448105,Jenny 5-pack,Dot
181448106,Jenny 5-pack,Stripe
181448109,Jenny 5-pack,Dot
182909001,Fleece 1 p tights,Solid
183815013,Bobby elastic waist belt,Other structure
184121021,FIFTY SHADES moulded halternec,All over pattern
184123020,FIFTY SHADES  tie brief,All over pattern
184583014,Robin 3pk solid,Melange
186262001,4p Claw,Solid
186262006,4p Claw,Solid
186262007,4p Claw,Solid
186262013,4p Claw,Transparent
186264014,10p Terry w.o. Clip,Solid
186264015,10p Terry w.o. Clip,Solid
186264016,10p Terry w.o. Clip,Solid
186266004,10p Basic Terry,Solid
186267001,12p Claw,Solid
186372011,Harem trousers,Solid
186372042,Harem trousers,All over pattern
186372045,Harem trousers,All over pattern
186595001,Lena over knee.,Solid
187949016,Padded pyjama,All over pattern
187949019,Padded pyjama,All over pattern
187949020,Padded pyjama,All over pattern
187949025,Padded pyjama,All over pattern
187949026,Padded pyjama,All over pattern
187949028,Padded pyjama,All over pattern
187949029,Padded pyjama,All over pattern
187949030,Padded pyjama,All over pattern
187949031,Padded pyjama,All over pattern
187949032,Padded pyjama,All over pattern
188183001,Spanx alot shape Swimsuit,Solid
188183008,SPANX ALOT swimsuit (1),Solid
188183009,SPANX ALOT swimsuit (1),Stripe
188183010,SPANX ALOT swimsuit (1),Solid
188183012,SPANX ALOT swimsuit (1),Solid
188183014,SPANX ALOT swimsuit (1),All over pattern
188183015,Spanx alot Swimsuit,Solid
188183016,Spanx alot Swimsuit,Stripe
188183018,Spanx alot Swimsuit,All over pattern
188183020,Spanx alot Swimsuit,All over pattern
188183021,Spanx alot Swimsuit,Solid
188183022,Spanx alot Swimsuit,All over pattern
188183023,Spanx alot Swimsuit,All over pattern
189383001,BASIC LS TURTLE NECK BODY,Solid
189383014,BASIC LS TURTLE NECK BODY,Solid
189616001,Tina leggings,Solid
189616006,Heavy jsy long leg,Contrast
189616007,Heavy jsy long leg,Contrast
189616008,Heavy jsy long leg,Contrast
189616009,Heavy jsy long leg,Contrast
189616014,Heavy jsy long leg,Contrast
189616015,Heavy jsy long leg,Contrast
189616016,Heavy jsy long leg,Contrast
189616028,Heavy jsy long leg,Treatment
189616032,Heavy jsy long leg,Contrast
189616038,Heavy jsy long leg,Solid
189626001,Jodi skirt,Solid
189634001,Long Leg Leggings,Solid
189634031,Long Leg Leggings,Solid
189654001,Raven skirt,Solid
189654045,Raven skirt,Melange
189654046,Raven skirt,Solid
189654047,Raven skirt,Solid
189691033,Carolina sweater (1),Solid
189691044,Carolina sweater (1),Melange
189691051,Carolina sweater (1),Solid
189691063,Carolina sweater (1),Solid
189691067,Carolina sweater (1),Melange
189691075,Carolina sweater (1),Melange
189955076,Nora tee,Melange
190021001,Basic 5p Minishaftless,Solid
190021003,Basic 5p Minishaftless,Solid
190021021,Basic 5p Minishaftless,Solid
190252020,Chris 3pk solid,Solid
192460006,Knit dress,Solid
192960023,Neo running beanie,Solid
194037001,Fleece leggings 1 p,Solid
194037002,Fleece leggings 1 p,Melange
194242047,HONEY L/L Leggings,Solid
194242048,HONEY L/L Leggings,Solid
194242049,HONEY L/L Leggings,Melange
194242050,HONEY L/L Leggings,Stripe
194270002,HELENA 2-pack tanktop,Solid
194270044,HELENA 2-pack tanktop,Solid
194270045,HELENA 2-pack tanktop,Solid
194270046,HELENA 2-pack tanktop,Solid
194902033,BERTIL Basic 2-pack S/S SB,Solid
198518010,METS 2-p basic shorttop,Solid
198518017,METS 2-p basic shorttop,Solid
198518020,METS 2-p shorttop,Solid
198518023,METS 2-p shorttop,Solid
198518031,METS 2-p basic shorttop,Solid
198714001,Babette cropped,Solid
198714006,Babette cropped,Solid
199119038,Basic shorts,All over pattern
200182001,40 den 2p Tights,Solid
200182002,40 den 2p Tights,Melange
200761022,TORKEL Basic 2-pack tanktop SB,Stripe
200761028,TORKEL tanktop SB 2-p,Stripe
200761029,TORKEL tanktop SB 2-p,Melange
201219001,Heavy plain 2 p tights,Solid
201219003,Heavy plain 2 p tights,Melange
201219011,Heavy plain 2 p tights,Solid
201219012,Heavy plain 2 p tights,Solid
201219013,Heavy plain 2 p tights,Solid
201219014,Heavy plain 2 p tights,Solid
201219016,Heavy plain 2 p tights,Solid
201219017,Heavy plain 2 p tights,Melange
202017055,Rihanna dress,Stripe
203027045,Linni tee (1),Solid
203027047,Linni tee (1),Stripe
203027048,Linni tee (1),Melange
203595034,Bryn Flanel Check,Check
203595036,Bryn Flanel Check,Check
203595040,Bryn Flanel Check,Check
203595048,Bryn Flanel Check,Check
